"key","message","comment","context"
"Add Student-Details","fr_Add stud",,
"Add Subject","fr_Add Subject",,
"Add/View Department","fr_Add/view Dept",,
"Add/View-Countries","fr_Add/View-Countries",,
"Add/View-Departments","fr_Add/View-Departments",,
"Address","fr_Address",,
"Address List","fr_Address List",,
"All Students(Kanban)",,,
"All Students(Tree)",,,
"All Students(card)",,,
"All Students(grid)",,,
"Area","fr_Area",,
"Assignment(Kanban)",,,
"Assignment-treeview",,,
"Assignments",,,
"Assignments(Grid/Form)",,,
"Assignments(kanban)",,,
"Assignments(tree)",,,
"Chemical","fr_Chemical",,
"City","fr_City",,
"Code","fr_code",,
"Completed",,,
"Computer-Science","fr_Computer-Science",,
"Countries",,,
"Country","fr_Country",,
"Create date",,,
"D.O.B","fr_D.O.B",,
"Dashboards",,,
"Date of birth","fr_Date of Birth",,
"Deadline date",,,
"Department","fr_Department",,
"Department Name",,,
"Departments",,,
"End date",,,
"Export-Data",,,
"Home",,,
"Import",,,
"In progress",,,
"Max size 4MB.",,,
"My Calendar",,,
"Name",,,
"Name Should be more than 5 chararacters !",,,
"Name required and it should be of atleast 5 characters !",,,
"Notes",,,
"Office",,,
"Others",,,
"Overview",,,
"Phone","fr_phone",,
"Phone type",,,
"Phones","fr_Phones",,
"Photo",,,
"Priority",,,
"Progress",,,
"Report(PDF)",,,
"Roll No",,,
"Roll no",,,
"Search Student-Country-Wise",,,
"Start date",,,
"State",,,
"Street",,,
"Student","fr-student",,
"Student (Tree)",,,
"Student Book",,,
"Student by Departments",,,
"Student-Kanban-View",,,
"Students",,,
"Students (Grid)",,,
"Students per Subject",,,
"Students(Kanban)",,,
"Students(Tree)",,,
"Students(card)",,,
"Studuent per Department",,,
"Subject name","fr_Subject name",,
"Subject-Code","fr_Subject code",,
"Subject-Name","fr_subject_name",,
"Subjects","fr_subjects",,
"Task Summary",,,
"To-do",,,
"UPDATE",,,
"Welcome!",,,
"Zip",,,
"country",,,
"students",,,
"subject-name",,,
"subjects-form",,,
"title-department-form",,,
"title-department-grid",,,
"title-student-form",,,
"title-subjects-form",,,
"title-subjects-grid",,,
